"","region","year","variable","1.5C","CPol","shift","net"
"1","ASIA",2020,"Fossil fuels",206.595957002365,299.404260380268,-92.8083033779027,60.4687549291844
"2","ASIA",2020,"Low carbon sources",482.531134126856,329.254075819769,153.277058307087,60.4687549291844
"3","CHN",2020,"Fossil fuels",133.657024830725,188.936808011535,-55.2797831808101,63.0407662599875
"4","CHN",2020,"Low carbon sources",319.871106820675,201.550557379877,118.320549440798,63.0407662599875
"5","EU",2020,"Fossil fuels",44.2850067538427,67.9214914522352,-23.6364846983925,-0.535483516348009
"6","EU",2020,"Low carbon sources",127.378746433837,104.277745251792,23.1010011820445,-0.535483516348009
"7","IND",2020,"Fossil fuels",30.7719521336771,49.0961079694114,-18.3241558357343,5.64279136477215
"8","IND",2020,"Low carbon sources",84.1756235194226,60.2086763189162,23.9669472005064,5.64279136477215
"9","LAM",2020,"Fossil fuels",70.6433034638721,96.9733650201008,-26.3300615562287,-16.2260384961087
"10","LAM",2020,"Low carbon sources",70.0220282937142,59.9180052335943,10.10402306012,-16.2260384961087
"11","MAF",2020,"Fossil fuels",208.2427834641,264.084772271544,-55.8419888074436,-34.2806434205221
"12","MAF",2020,"Low carbon sources",81.0371281830681,59.4757827961466,21.5613453869214,-34.2806434205221
"13","OECD+",2020,"Fossil fuels",198.172546852827,274.641931428631,-76.4693845758036,23.8760444993677
"14","OECD+",2020,"Low carbon sources",389.056575331653,288.711146256482,100.345429075171,23.8760444993677
"15","REF",2020,"Fossil fuels",70.762623170109,98.199009911766,-27.436386741657,2.75120750161014
"16","REF",2020,"Low carbon sources",67.90733789354,37.7197436502729,30.1875942432671,2.75120750161014
"17","USA",2020,"Fossil fuels",105.795906673434,138.034214657997,-32.2383079845636,11.1609938162191
"18","USA",2020,"Low carbon sources",145.039152813464,101.639851012681,43.3993018007827,11.1609938162191
"19","World",2020,"Fossil fuels",792.959300576717,1070.94713255393,-277.987831977217,22.6204888475953
"20","World",2020,"Low carbon sources",1351.37444217275,1050.76612134794,300.608320824812,22.6204888475953
