"","region","stimulus","tempo","1.5C","CPol"
"1","ASIA",1354.19102341274,"annual",1317.78542732926,1317.78542732926
"2","ASIA",1354.19102341274,"five.yr",6588.92713664629,6588.92713664629
"3","CHN",634.829,"annual",844.015497042811,844.015497042811
"4","CHN",634.829,"five.yr",4220.07748521406,4220.07748521406
"5","EU",4242.74525710756,"annual",343.862989891707,343.862989891707
"6","EU",4242.74525710756,"five.yr",1719.31494945853,1719.31494945853
"7","IND",320.810523956,"annual",224.252359941427,224.252359941427
"8","IND",320.810523956,"five.yr",1121.26179970714,1121.26179970714
"9","LAM",292.466816987346,"annual",297.556702011281,297.556702011281
"10","LAM",292.466816987346,"five.yr",1487.78351005641,1487.78351005641
"11","MAF",188.938957364371,"annual",612.840466714859,612.840466714859
"12","MAF",188.938957364371,"five.yr",3064.20233357429,3064.20233357429
"13","OECD+",8495.12351574268,"annual",1150.58219986959,1150.58219986959
"14","OECD+",8495.12351574268,"five.yr",5752.91099934796,5752.91099934796
"15","REF",76.735370454895,"annual",274.588714625688,274.588714625688
"16","REF",76.735370454895,"five.yr",1372.94357312844,1372.94357312844
"17","USA",2791.3,"annual",490.509125157576,490.509125157576
"18","USA",2791.3,"five.yr",2452.54562578788,2452.54562578788
"19","World",11034.6295970052,"annual",4266.04699665134,4266.04699665134
"20","World",11034.6295970052,"five.yr",21330.2349832567,21330.2349832567
