"","region","component","Stimulus","gdp","pct.gdp"
"1","ASIA","Economy",105429788144.92,22110217767624,0.476837402747344
"2","ASIA","General",490651368070.591,22110217767624,2.21911594552023
"3","ASIA","Health",24379127617.2948,22110217767624,0.110261815932872
"4","ASIA","Individuals",21352194776.31,22110217767624,0.0965716168005186
"5","CHN","Individuals",0,13608151864637.9,0
"6","CHN","Health",0,13608151864637.9,0
"7","CHN","Economy",0,13608151864637.9,0
"8","CHN","General",340203796616,13608151864637.9,2.50000000000039
"9","EU","Individuals",149763260868.664,1.8e+13,0.832018115937022
"10","EU","Health",278596210520.2,1.8e+13,1.54775672511222
"11","EU","Economy",1968896460255.18,1.8e+13,10.9383136680843
"12","EU","General",774629336242.22,1.8e+13,4.30349631245678
"13","EU","Economy",462600307.2,1.8e+13,0.00257000170666667
"14","EU","General",365841747519,1.8e+13,2.03245415288333
"15","EU","Health",260869565217,1.8e+13,1.44927536231667
"16","EU","Individuals",0,1.8e+13,0
"17","IND","Individuals",0,2718732231257.57,0
"18","IND","Health",0,2718732231257.57,0
"19","IND","Economy",0,2718732231257.57,0
"20","IND","General",29906054544,2718732231257.57,1.10000000000613
"21","LAM","Economy",4945362817.05,5338890352785.98,0.0926290388127071
"22","LAM","General",188679862625.99,5338890352785.98,3.53406513635426
"23","LAM","Health",1293056011.08,5338890352785.98,0.0242195648465649
"24","LAM","Individuals",4328230295.88,5338890352785.98,0.0810698480372688
"25","MAF","Economy",71611204567.969,4661260948422.77,1.53630541950671
"26","MAF","General",89332565566.208,4661260948422.77,1.91648926234081
"27","MAF","Health",19046123217.9539,4661260948422.77,0.408604526300947
"28","MAF","Individuals",8354839615.307,4661260948422.77,0.179239903274113
"29","OECD+","Economy",4175557850275.98,49690159173239.1,8.40318871935662
"30","OECD+","General",1387425675822.23,49690159173239.1,2.79215381658394
"31","OECD+","Health",240574878408.21,49690159173239.1,0.484149945202375
"32","OECD+","Individuals",1079370003303.96,49690159173239.1,2.17220073604688
"33","REF","Economy",5095847590.6,2222682311735.7,0.229265674347345
"34","REF","General",47310014362.6,2222682311735.7,2.12850995901684
"35","REF","Health",969338363.1,2222682311735.7,0.0436111970650021
"36","REF","Individuals",122283428.6,2222682311735.7,0.00550161523103625
"37","USA","Individuals",7.16e+11,20544343456936.5,3.48514422717292
"38","USA","Health",2e+11,20544343456936.5,0.973503974070648
"39","USA","Economy",1.239e+12,20544343456936.5,6.03085711936767
"40","USA","General",6.373e+11,20544343456936.5,3.10207041337612
"41","World","Economy",4363102653703.72,84023210553807.5,5.19273498947012
"42","World","General",2569241233966.62,84023210553807.5,3.05777560394613
"43","World","Health",547132088834.639,84023210553807.5,0.651167796646215
"44","World","Individuals",1113527551420.06,84023210553807.5,1.32526184619781
